sentence_id	sentence
623737_1	Ahead of the 2008–09 season, on 7 July, Ronaldo underwent ankle surgery, which kept him out of action for 10 weeks.
623737_2	Following his return, he scored his 100th goal in all competitions for United with the first of two free kicks in a 5–0 win against Stoke City on 15 November, which meant he had now scored against all 19 opposition teams in the Premier League at the time.
623737_3	At the close of 2008, Ronaldo helped United win the 2008 FIFA Club World Cup in Japan, assisting the final-winning goal against Liga de Quito and winning the Silver Ball in the process.
623737_4	With his 2008 Ballon d'Or and 2008 FIFA World Player of the Year, Ronaldo became United's first Ballon d'Or winner since Best in 1968, and the first Premier League player to be named the FIFA World Player of the Year.
623737_5	His match-winning goal in the second leg against Porto, a 40-yard strike, earned him the inaugural FIFA Puskás Award, presented by FIFA in recognition of the best goal of the year; he later called it the best goal he had ever scored.
623737_6	United advanced to the final in Rome, where he made little impact in United's 2–0 defeat to Barcelona.
623737_7	Ronaldo ended his time in England with nine trophies, as United claimed their third successive league title and a Football League Cup.
623737_8	He finished the campaign with 26 goals in all competitions, 16 goals fewer than the previous season, in four more appearances.
623737_9	His final goal for United came on 10 May 2009 with a free kick in the Manchester derby at Old Trafford.
26779_1	СССР (in the Latin alphabet: SSSR) is the abbreviation of the Russian language cognate of USSR, as written in Cyrillic letters.
26779_2	The Soviets used this abbreviation so frequently that audiences worldwide became familiar with its meaning.
26779_3	Other common short form names for the Soviet state in Russian were Советский Союз (transliteration: Sovetskiy Soyuz) which literally means Soviet Union, and Союз ССР (transliteration: Soyuz SSR) which, after compensating for grammatical differences, essentially translates to Union of SSR's in English.
68573407_1	On August 26, 2021, the Cayman Islands were put under a Tropical Storm Warning.
68573407_2	With the expectation of a landfall or near landfall on Grand Cayman, schools and businesses were closed, and the government had fully activated the NEOC and the Emergency Services, in addition to deploying the Cayman Islands Regiment and Cayman Islands Coast Guard for the HADR and SAR operations.
68573407_3	Many people piled into grocery stores and hardware stores to grab supplies having Hurricane Grace that hit Cayman just a week earlier fresh in everyone's minds.
68573407_4	Cayman Airways cancelled some of its flights and rescheduled them for a later day.
68573407_5	The utility company had announced that they were planning on little to no power outages.
4848272_1	In December 2019, COVID-19 erupted in Wuhan, China; the SARS-CoV-2 virus spread worldwide within weeks.
4848272_2	The first confirmed case in the U.S. was reported on January 20, 2020.
4848272_3	The outbreak was officially declared a public health emergency by Health and Human Services Secretary Alex Azar on January 31, 2020.
4848272_4	Trump's public statements on COVID-19 were at odds with his private statements.
4848272_5	"In February 2020 Trump publicly asserted that the outbreak in the U.S. was less deadly than influenza, was ""very much under control"", and would soon be over."
4848272_6	At the same time he acknowledged the opposite in a private conversation with Bob Woodward.
4848272_7	"In March 2020, Trump privately told Woodward that he was deliberately ""playing it down"" in public so as not to create panic."
4848272_8	U.S. unemployment went from a 50-year low (3.5 percent) in February 2020 to a 90-year high (14.7 percent) in April, matching Great Depression levels.
4848272_9	By December, it stood at 6.7 percent.
20640_1	In two succeeding versions, Lion and Mountain Lion, Apple moved some applications to a highly skeuomorphic style of design inspired by contemporary versions of iOS while simplifying some elements by making controls such as scroll bars fade out when not in use.
20640_2	This direction was, like brushed metal interfaces, unpopular with some users, although it continued a trend of greater animation and variety in the interface previously seen in design aspects such as the Time Machine backup utility, which presented past file versions against a swirling nebula, and the glossy translucent dock of Leopard and Snow Leopard.
20640_3	In addition, with Mac OS X 10.7 Lion, Apple ceased to release separate server versions of Mac OS X, selling server tools as a separate downloadable application through the Mac App Store.
20640_4	"A review described the trend in the server products as becoming ""cheaper and simpler... shifting its focus from large businesses to small ones."""
22409046_1	"Omegle was initially a text-only chat that paired users at random to communicate as ""strangers""."
22409046_2	However, in 2010, Omegle introduced a video mode to complement the text chat mode, which pairs together strangers who are using webcams and microphones.
22409046_3	The video chat also has a built in text window.
19614294_1	Atkinson starred in a series of comedy shows for BBC Radio 3 in 1979 called The Atkinson People.
19614294_2	It consisted of a series of satirical interviews with fictional great men, who were played by Atkinson himself.
19614294_3	The series was written by Atkinson and Richard Curtis, and produced by Griff Rhys Jones.
37497391_1	Romanoff and Belova break Shostakov out of prison to learn Dreykov's location, and he directs them to Vostokoff who lives on a farm outside Saint Petersburg.
37497391_2	There she is refining the chemical mind control process used on the Widows.
37497391_3	Vostokoff alerts Dreykov and his agents arrive to take them, but Romanoff convinces Vostokoff to help them and the pair use face mask technology to switch places.
37497391_4	At the Red Room, an aerial facility, Vostokoff frees Shostakov and Belova from their restraints.
37497391_5	Dreykov sees through Romanoff's disguise and reveals that Taskmaster is Antonia, who suffered damage severe enough that Dreykov had to put technology in her head.
37497391_6	That made her the perfect soldier, capable of mimicking the actions of anyone she sees.
37497391_7	Romanoff is unable to attack Dreykov due to a pheromone lock installed in every Widow, but negates that by breaking her own nose and severing a nerve in her nasal passage.
37497391_8	Shostakov battles Taskmaster while Vostokoff takes out one of the facility's engines.
37497391_9	They then lock Taskmaster in a cell.
64691912_1	Titans' third season was confirmed shortly before the conclusion of the second season in 2019.
64691912_2	Filming was scheduled to begin by the spring of the following year, with the season premiering on DC Universe in late 2020.
64691912_3	However, due to the COVID-19 pandemic, production was delayed before the start of filming.
64691912_4	Production resumed by October 2020 and concluded by June 2021.
64691912_5	The third season was the first to release on HBO Max following its acquisition of DC Universe's original programming and the repurposing of DC Universe into comic distributor DC Universe Infinite.
64691912_6	"In addition to having elements from Marv Wolfman and George Pérez's 1980s The New Teen Titans and Johns' 2003 Teen Titans comics, the season is inspired by the Batman comic storylines ""A Death in the Family"" (1988) by Jim Starlin and Jim Aparo, ""No Man's Land"" (1999) by Jordan B. Gorfinkel, and ""Under the Hood"" (2004–2006) by Judd Winick and Doug Mahnke."
1660277_1	The series follows the life of Meredith Grey (Ellen Pompeo), the daughter of the famous general surgeon Ellis Grey (Kate Burton), starting from her acceptance into the surgical residency program at the fictional Seattle Grace Hospital (later named Seattle Grace Mercy West and finally, Grey Sloan Memorial Hospital).
1660277_2	During her time as an intern, Grey works alongside fellow physicians
1660277_3	Cristina Yang (Sandra Oh), Izzie Stevens (Katherine Heigl), Alex Karev (Justin Chambers) and George O'Malley (T. R. Knight), who each struggle to balance their personal lives with hectic schedules and stressful residency requirements.
1660277_4	During their internship, they are overseen by Miranda Bailey (Chandra Wilson), a senior resident, who works with attending physicians Derek Shepherd (Patrick Dempsey), head of neurosurgery and Meredith's love-interest, and Preston Burke (Isaiah Washington), head of cardiothoracic surgery, who becomes Yang's fiancé.
1660277_5	Richard Webber (James Pickens Jr.), Chief of Surgery and attending general surgeon, is the former lover of Ellis Grey.
1660277_6	During the first 6 seasons, Burke, O'Malley, and Stevens all depart the series.
736_1	On 17 April 1955, Einstein experienced internal bleeding caused by the rupture of an abdominal aortic aneurysm, which had previously been reinforced surgically by Rudolph Nissen in 1948.
736_2	He took the draft of a speech he was preparing for a television appearance commemorating the state of Israel's seventh anniversary with him to the hospital, but he did not live to complete it.
736_3	"Einstein refused surgery, saying, ""I want to go when I want. It is tasteless to prolong life artificially. I have done my share; it is time to go. I will do it elegantly."""
736_4	He died in Princeton Hospital early the next morning at the age of 76, having continued to work until near the end.
736_5	During the autopsy, the pathologist of Princeton Hospital, Thomas Stoltz Harvey, removed Einstein's brain for preservation without the permission of his family, in the hope that the neuroscience of the future would be able to discover what made Einstein so intelligent.
736_6	Einstein's remains were cremated in Trenton, New Jersey, and his ashes were scattered at an undisclosed location.
736_7	"In a memorial lecture delivered on 13 December 1965 at UNESCO headquarters, nuclear physicist J. Robert Oppenheimer summarized his impression of Einstein as a person: ""He was almost wholly without sophistication and wholly without worldliness ..."
736_8	"There was always with him a wonderful purity at once childlike and profoundly stubborn."""
736_9	Einstein bequeathed his personal archives, library and intellectual assets to the Hebrew University of Jerusalem in Israel.
40854965_1	Platt was nominated for an Outer Critics Circle Award, a Drama League Distinguished Performance Award, and won the Obie Award for Distinguished Performance by an Actor and Lucille Lortel Award for Outstanding Lead Actor in a Musical for Dear Evan Hansen's Off-Broadway run in 2016.
40854965_2	On May 19, 2017, at the 83rd annual Drama League Awards, it was announced that Platt had won the organization's Distinguished Performance Award.
40854965_3	This award, which recognizes a performance on the New York stage in the past year, can only be won once in a performer's career.
40854965_4	In winning at the age of 23, for his work in Dear Evan Hansen, Platt became the youngest winner in the award's history.
40854965_5	On June 11, at the 71st Tony Awards, 23-year-old Platt won the Tony Award for Best Actor in a Leading Role in a Musical becoming the youngest actor to win this award solo.
14533_1	Earlier, the Columbian exchange had brought the potato, the tomato, maize, peanuts, cashew nuts, pineapples, guavas, and most notably, chilli peppers, to India.
14533_2	Each became a staple of use.
14533_3	In turn, the spice trade between India and Europe was a catalyst for Europe's Age of Discovery.
14533_4	The foundation of a typical Indian meal is a cereal cooked in plain fashion, and complemented with flavourful savoury dishes.
14533_5	The latter includes lentils, pulses and vegetables commonly spiced with ginger and garlic, but also more discerningly with a combination of spices that may include coriander, cumin, turmeric, cinnamon, cardamon and others as informed by culinary conventions.
14533_6	A platter, or thali, used for eating might have a central place for the cooked cereal, and peripheral ones for the flavourful accompaniments, which are often served in small bowls.
14533_7	The act of eating might involve the simultaneous ingestion rather than a piecemeal one of the two.
14533_8	This may result from mixing—for example of rice and lentils—or from folding or wrapping one—such as bread—around the other, such as cooked vegetables.
142528_1	After Bezos graduated from college in 1986, he was offered jobs at Intel, Bell Labs, and Andersen Consulting, among others.
142528_2	He first worked at Fitel, a fintech telecommunications start-up, where he was tasked with building a network for international trade.
142528_3	Bezos was promoted to head of development and director of customer service thereafter.
142528_4	He transitioned into the banking industry when he became a product manager at Bankers Trust.
142528_5	He worked there from 1988 to 1990.
142528_6	He then joined D. E. Shaw & Co, a newly founded hedge fund with a strong emphasis on mathematical modelling in 1990 and worked there until 1994.
142528_7	Bezos became D. E. Shaw's fourth senior vice-president at age 30.
18589083_1	During the 2000s, McGowan became known to television audiences for her role as Paige Matthews in The WB supernatural drama series Charmed (2001–2006).
18589083_2	She went on to star in Robert Rodriguez and Quentin Tarantino's double-feature film Grindhouse (2008) and appeared in the action-thriller series Chosen (2014).
18589083_3	In 2018, McGowan released her debut studio album, Planet 9, followed by a repackaging in 2020.
2731583_1	The Holocaust and Germany's war in the East were based on Hitler's long-standing view that the Jews were the enemy of the German people and that Lebensraum was needed for Germany's expansion.
2731583_2	He focused on Eastern Europe for this expansion, aiming to defeat Poland and the Soviet Union and then removing or killing the Jews and Slavs.
2731583_3	"The Generalplan Ost (General Plan East) called for deporting the population of occupied Eastern Europe and the Soviet Union to West Siberia, for use as slave labour or to be murdered; the conquered territories were to be colonised by German or ""Germanised"" settlers."
2731583_4	The goal was to implement this plan after the conquest of the Soviet Union, but when this failed, Hitler moved the plans forward.
2731583_5	By January 1942, he had decided that the Jews, Slavs, and other deportees considered undesirable should be killed.
271181_1	In June 2006, a stage musical titled The Gospel According to Tammy Faye opened at the Cincinnati Fringe Festival and was subsequently developed as a larger professional production.
271181_2	The show features songs by J. T. Buck and a book by Fernando Dovalina.
271181_3	The musical is described as a fantasia which takes a balanced and fair look at its subject.
271181_4	The impetus for the show was provided by a lengthy interview that Messner gave the authors in March 2005.
271181_5	The musical aired on August 2006 in Portland, Oregon and Hood River, Oregon, and it was presented on stage at Houston's Alley Theatre at the end of July 2007 under direction of Les R. Wood.
271181_6	Industry readings presented by the Columbia Gorge Repertory Company were held at the Manhattan Theatre Club in December 2007, the cast including Tony nominee Sally Mayes and veteran Broadway performers William Youmans, Ken Land, Julie Foldesi, James T. Lane and Heather Parcells.
271181_7	The readings were directed by Mindy Cooper.
271181_8	Seth Farber provided musical direction.
60930804_1	The 2021 Men's European Volleyball Championship was the 32nd edition of the Men's European Volleyball Championship, organised by Europe's governing volleyball body, CEV.
60930804_2	For the second time, the EuroVolley was held in four countries: Poland, Czech Republic, Estonia and Finland.
60930804_3	The number of national teams that participated in the event remained to 24.
60930804_4	In Poland, matches were played in Gdańsk, Katowice and Kraków.
33135_1	In Army of Two, main character Salem talks about Wu-Tang asking his teammate Rios who the best member is.
33135_2	Salem says it's RZA, but he says Ghostface Killah is pretty good himself.
33135_3	"In the ending cut scene, a reference is made when Salem says ""Survey says?"" and Rios replies ""You're dead""."
33135_4	"The exchange referenced the lyric, ""And the survey says? You're dead!"" from ""Wu-Tang Clan Ain't Nuthin' Ta F' Wit"", from the album Enter the Wu-Tang Clan (36 Chambers)."
43836011_1	Davidson dated comedian Carly Aquilino from 2014 until 2015, and dated Cazzie David, daughter of comedian Larry David, from 2016 to 2018.
43836011_2	In May 2018, he started dating singer Ariana Grande.
43836011_3	In June 2018, Davidson confirmed he was engaged to Grande, but the engagement was called off in October 2018.
43836011_4	"Grande's song about Davidson titled ""Pete Davidson"" appears on her 2018 album Sweetener."
43836011_5	"She also referenced him in her song, ""thank u, next"", with the lyric, ""Even almost got married, And for Pete I'm so thankful""."
43836011_6	In early 2019, Davidson was in a relationship with actress Kate Beckinsale, a woman twenty years his senior.
43836011_7	In response to media comments about the age difference, he said that such an age gap was new to him and that the media should ask older men in longer relationships with younger women such as Leonardo DiCaprio, Alec Baldwin, Larry King, and Donald Trump.
43836011_8	He also dated actress Margaret Qualley until their relationship ended in October 2019.
43836011_9	He was involved with Kaia Gerber, daughter of supermodel Cindy Crawford, from October 2019 to January 2020.
43836011_10	In August 2021, he split from Bridgerton actress Phoebe Dynevor after a five month relationship.
43836011_11	In March 2021, a woman falsely claimed to be married to Davidson and falsely misrepresented an association with her business; the woman allegedly illegally entered his home and therefore faces legal charges.
17181314_1	Chastain began 2017 by serving as the executive producer and providing the narration for I Am Jane Doe, a documentary on sex trafficking.
17181314_2	In an effort to work with more female filmmakers, Chastain starred in two projects directed by women—Niki Caro's The Zookeeper's Wife and Susanna White's Woman Walks Ahead.
17181314_3	In the former, an adaptation of Diane Ackerman's non-fiction book of the same name, she co-starred with Johan Heldenbergh as the real-life Polish zookeepers Jan and Antonina Żabiński who saved many human and animal lives during World War II.
17181314_4	"The film received mixed reviews, but Stephen Holden took note of how Chastain's ""watchful, layered performance"" empowered the film."
17181314_5	Woman Walks Ahead tells the story of the 19th-century activist Catherine Weldon, who served as an adviser to the Sioux chieftain Sitting Bull prior to the Wounded Knee Massacre.
17181314_6	She was interested in portraying a role that young girls could look up to for inspiration, and provided off-screen inputs to avoid a white savior narrative.
33126_1	Lana was born in Chicago in 1965; Lilly was born two-and-a-half years later, in 1967.
33126_2	Their mother, Lynne (née Luckinbill), was a nurse and painter.
33126_3	Their father, Ron Wachowski, was a businessman of Polish descent.
33126_4	Their uncle is the actor and Primetime Emmy Award-winning producer Laurence Luckinbill.
33126_5	Ron and Lynne died five weeks apart in the late 2010s.
33126_6	They have two other sisters: Julie and Laura.
33126_7	Julie was credited as assistant coordinator in the film Bound; she is a novelist and screenwriter.
33126_8	The Wachowskis attended the Kellogg Elementary School in Chicago's Beverly area, and graduated from Whitney Young High School, known for its performing arts and science curriculum, in 1983 and 1985, respectively.
33126_9	Former classmates recall them playing Dungeons & Dragons and working in the school's theater and TV program.
33126_10	Lana went to Bard College in New York and Lilly attended Emerson College in Boston.
33126_11	Each dropped out before graduating, and they ran a house painting and construction business in Chicago.
28045_1	Before the attacks, FBI agent Robert Wright, Jr. had written vigorous criticisms of FBI's alleged incompetence in investigating terrorists residing within the United States.
28045_2	Wright was part of the Bureau's Chicago counter-terrorism task force and involved in project Vulgar Betrayal, which was linked to Yasin al-Qadi.
28045_3	According to James Bamford, the NSA had picked up communications of al-Mihdhar and al-Hazmi back in 1999, but had been hampered by internal bureaucratic conflicts between itself and the CIA, and did not do a full analysis of the information it passed on to the agency.
28045_4	For example, it only passed on the first names, Nawaf and Khalid.
28045_5	Bamford also claims that the CIA's Alec Station (a unit assigned to bin Laden) knew that al-Mihdhar was planning to come to New York as far back as January 2000.
28045_6	Doug Miller, one of three FBI agents working inside the CIA station, tried to send a message (a CIR) to the FBI to alert them about this, so they could put al-Mihdhar on a watch list.
28045_7	His CIA boss, Tom Wilshire, deputy station chief, allegedly denied permission to Miller.
28045_8	Miller asked his associate Mark Rossini for advice; Rossini pressed Wilshire's deputy but was rebuffed also.
28045_9	Bamford also claims that al-Mihdhar and Hazmi wound up living with Abdussattar Shaikh for a time to save money.
28045_10	Shaikh was, coincidentally, an FBI informant, but since they never acted suspiciously around him, he never reported them.
28045_11	The CIA Bangkok station told Alec Station that Hazmi had gone to Los Angeles.
28045_12	None of this information made it back to the FBI headquarters.
43573275_1	On March 18, 2019, HBO premiered the documentary The Inventor: Out for Blood in Silicon Valley, a two-hour documentary film first shown at the Sundance Film Festival on January 24, 2019.
43573275_2	It portrays the claims and promises made by Holmes in the last years of Theranos and how ultimately the company was brought down by the weight of many falsehoods.
43573275_3	The documentary ends in 2018, with Holmes and Balwani indicted for multiple crimes.
263718_1	Rogan released his first comedy special, I'm Gonna Be Dead Someday ..., in 2000.
263718_2	From 2001 to 2006, he was the host of the game show Fear Factor.
263718_3	In 2009, Rogan launched his podcast The Joe Rogan Experience, which led him to increased success and podcast superstardom.
7412236_1	Jobs became CEO of Apple in 1997, following his company's acquisition of NeXT.
7412236_2	He was largely responsible for helping revive Apple, which had been on the verge of bankruptcy.
7412236_3	"He worked closely with designer Jony Ive to develop a line of products that had larger cultural ramifications, beginning in 1997 with the ""Think different"" advertising campaign and leading to the iMac, iTunes, iTunes Store, Apple Store, iPod, iPhone, App Store, and the iPad."
7412236_4	In 2001, the original Mac OS was replaced with the completely new Mac OS X (now known as macOS), based on NeXT's NeXTSTEP platform, giving the OS a modern Unix-based foundation for the first time.
7412236_5	Jobs was diagnosed with a pancreatic neuroendocrine tumor in 2003.
7412236_6	He died of respiratory arrest related to the tumor at age 56 on October 5, 2011.
27318_1	Singapore has a highly developed market economy, based historically on extended entrepôt trade.
27318_2	Along with Hong Kong, South Korea, and Taiwan, Singapore is one of the Four Asian Tigers, and has surpassed its peers in terms of Gross Domestic Product (GDP) per capita.
27318_3	Between 1965 and 1995, growth rates averaged around 6 per cent per annum, transforming the living standards of the population.
27318_4	The Singaporean economy is regarded as free, innovative,
64114692_1	Juno Temple as Keeley Jones, an ambitious model who becomes very close friends with Rebecca.
64114692_2	She joins AFC Richmond as their manager of marketing and public relations, before eventually leaving to start her own PR firm at the end of the second season.
64114692_3	She is Jamie's ex-girlfriend and now Roy's girlfriend.
1921_1	The name 'al-Qaeda' was established a long time ago by mere chance.
1921_2	The late Abu Ebeida El-Banashiri established the training camps for our mujahedeen against Russia's terrorism.
1921_3	We used to call the training camp al-Qaeda.
1921_4	The name stayed.
4429395_1	On April 5, 2020, Matthew Hughes broke into Eminem's house, reportedly breaking a kitchen window with a paving stone.
4429395_2	Eminem woke up with Hughes standing behind him and he said that he was there to kill him.
4429395_3	Hughes was on a $50,000 cash bond and was charged with first-degree home invasion and malicious destruction of property.
49167723_1	Goldstein was born in Sutton, London, to a British Jewish family, on 17 July 1980.
49167723_2	After graduating from school, he attended acting classes in the University of Warwick, from which he graduated with a degree in Film & Feminism.
49167723_3	"Soon afterward, Goldstein briefly relocated to Marbella, Spain, to work at a strip club which his father purchased during a ""midlife crisis""."
49167723_4	"As a result, Goldstein turned the experience into a stand-up comedy show called ""Brett Goldstein Grew Up in A Strip Club"", which was performed at the Edinburgh Fringe Festival."
773158_1	Jenner was the American champion in the men's decathlon event in 1974, and was featured on the cover of Track & Field News magazine's August 1974 issue.
773158_2	While on tour in 1975, Jenner won the French national championship, and a gold medal at the 1975 Pan American Games, setting the tournament record with 8,045 points.
773158_3	This was followed by world records of 8,524 points at the U.S.A./U.S.S.R./Poland triangular meet in Eugene, Oregon, on August 9–10, 1975, breaking Avilov's record, and 8,538 points at the 1976 Olympic trials, also in Eugene.
773158_4	The second Eugene record was a hybrid score because of a timing system failure and it was wind aided.
773158_5	"Still, Jenner was proud of ""A nice little workout, huh?"""
48268960_1	When the season resumed in August after a six-month hiatus due to the COVID-19 pandemic, Medvedev was unable to defend his title at Cincinnati Masters, losing to Roberto Bautista Agut in the quarterfinals.
48268960_2	As the 3rd seed in the US Open, Medvedev reached the semifinals without dropping a set before losing to eventual champion Dominic Thiem.
48268960_3	At the French Open, Medvedev exited the tournament in the first round for the fourth consecutive year, this time losing against Márton Fucsovics.
48268960_4	His struggles with form continued into the beginning of the October indoor season, failing to string together more than two consecutive match wins through ATP 500 tournaments in St. Petersburg Open and Vienna.
48268960_5	Medvedev then ended his run of lackluster form at the Paris Masters by winning the title.
48268960_6	This marked both his first title and his first top ten victories (by beating Diego Schwartzman in the quarterfinals and Alexander Zverev in the final) since the 2019 Shanghai Masters.
17173785_1	On 6 February 2008, the Office of the Chief Medical Examiner of New York released its conclusions.
17173785_2	Those conclusions were based on an initial autopsy that occurred 23 January 2008, and a subsequent complete toxicological analysis.
17173785_3	"The report concluded that Ledger died ""as the result of acute intoxication by the combined effects of oxycodone, hydrocodone, diazepam, temazepam, alprazolam and doxylamine""."
17173785_4	"It added: ""We have concluded that the manner of death is accident, resulting from the abuse of prescribed medications. """
17173785_5	While the medications found in the toxicological analysis may be prescribed in the United States for insomnia, anxiety, pain or common cold symptoms (doxylamine), the vast majority of physicians in the U.S. are extremely reluctant to prescribe multiple benzodiazepines (e.g. diazepam, alprazolam and temazepam) to a single patient, let alone to prescribe such medications to a patient already taking a mix of oxycodone and hydrocodone.
17173785_6	Although the Associated Press and other media reported that police estimated Ledger's death occurred between 1:00 p.m. and 2:45 p.m. on 22 January 2008, the Medical Examiner's Office announced that it would not publicly disclose the official estimated time of death.
17173785_7	The official announcement of the cause and manner of Ledger's death heightened concerns about the growing problems of prescription drug abuse or misuse and combined drug intoxication (CDI).
17173785_8	In 2017, Jason Payne-James, a forensic pathologist, asserted that Ledger might have survived if hydrocodone and oxycodone had been left out of the combination of drugs that the actor took just prior to his death.
17173785_9	He furthermore stated that the mixture of drugs, combined with a possible chest infection, caused Ledger to stop breathing.
21881809_1	Jenner has been accused of appropriating African-American culture and style.
21881809_2	In 2016, Jenner was criticized for posting a photograph of herself wearing cornrows on Instagram.
21881809_3	In June 2017, urban streetwear brand PluggedNYC accused Jenner of stealing their designs for her collection of camouflage swimwear.
91198_1	Since 2012, there has been a celebrity match played before the Ryder Cup contest.
91198_2	Celebrities were paired with former Ryder Cup captains in 2012 and 2014.
91198_3	Since 2016 there have been separate matches for celebrities and past captains.
91198_4	Celebrities have included sportspeople Michael Phelps, Scottie Pippen, Martina Navratilova, Alessandro Del Piero, A.J. Hawk and Andriy Shevchenko, and actors Bill Murray and Justin Timberlake.
534366_1	Obama signed many landmark bills into law during his first two years in office.
534366_2	"The main reforms include: the Affordable Care Act (ACA or ""Obamacare""), although without a public health insurance option; the Dodd–Frank Wall Street Reform and Consumer Protection Act; and the Don't Ask, Don't Tell Repeal Act of 2010."
534366_3	The American Recovery and Reinvestment Act of 2009 and Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 served as economic stimuli amidst the Great Recession.
534366_4	After a lengthy debate over the national debt limit, he signed the Budget Control and the American Taxpayer Relief Acts.
